date,service_period,forecast_covers,actual_covers,forecast_sales,actual_sales,reservation_count,walk_in_ratio,delivery_order_volume,promo_flag,local_event_flag,weather_impact_score,is_holiday_x,is_weekend,is_holiday_y,holiday_name,is_holiday_eve,is_long_weekend,is_school_break,is_payday_window,season,tourism_pressure_score,forecast_required_headcount_total,required_headcount_total,forecast_required_role_garzon,forecast_required_role_host,forecast_required_role_cajero,forecast_required_role_cocinero_linea,forecast_required_role_ayudante_cocina,forecast_required_role_runner,forecast_required_role_copero,forecast_required_role_jefe_turno,required_role_garzon,required_role_host,required_role_cajero,required_role_cocinero_linea,required_role_ayudante_cocina,required_role_runner,required_role_copero,required_role_jefe_turno,scheduled_headcount_total,scheduled_overtime_hours,scheduled_avg_consecutive_work_days,scheduled_avg_demand_pressure,scheduled_delivery_orders_seen,scheduled_role_ayudante_cocina,scheduled_role_cajero,scheduled_role_cocinero_linea,scheduled_role_copero,scheduled_role_garzon,scheduled_role_host,scheduled_role_jefe_turno,scheduled_role_runner,actual_headcount_total,actual_overtime_hours,actual_avg_consecutive_work_days,actual_avg_demand_pressure,actual_delivery_orders_seen,actual_role_ayudante_cocina,actual_role_cajero,actual_role_cocinero_linea,actual_role_copero,actual_role_garzon,actual_role_host,actual_role_jefe_turno,actual_role_runner,avg_hr_mean_bpm,avg_hrv_rmssd_ms,avg_sleep_duration_hours,avg_sleep_efficiency_pct,avg_stress_score,avg_steps,avg_fatigue_proxy,avg_age,avg_bmi,avg_distance_to_work_km,cross_trained_available,absent_count_total,short_notice_absent_count,absentee_rate,short_notice_absentee_rate,deficit_count_total,has_deficit_total,deficit_role_garzon,has_deficit_role_garzon,deficit_role_cocinero_linea,has_deficit_role_cocinero_linea,deficit_role_jefe_turno,has_deficit_role_jefe_turno,day_of_week,is_friday,is_weekend_flag,is_peak_service,forecast_covers_lag1,forecast_covers_lag7,forecast_sales_lag1,forecast_sales_lag7,reservation_count_lag1,reservation_count_lag7,delivery_order_volume_lag1,delivery_order_volume_lag7,absentee_rate_lag1,absentee_rate_lag7,short_notice_absentee_rate_lag1,short_notice_absentee_rate_lag7,actual_headcount_total_lag1,actual_headcount_total_lag7,deficit_count_total_lag1,deficit_count_total_lag7
2025-07-11,11_13,28,33,502100,553282,8,0.68,11,False,True,0.0,False,False,False,0,False,False,True,False,winter,0.65,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.0,5.0,0.746,11.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,8,0.0,3.5,0.8150000000000001,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.8,31.04,6.33,74.22,74.71000000000001,11406.7,52.620000000000005,29.6,28.35,8.260000000000002,4,2.0,2.0,0.2,0.2,2,1,1.0,1,1.0,1,0.0,0,4,1,0,0,29.0,28.0,459300.0,464100.0,4.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0
2025-07-12,11_13,34,34,530300,537500,11,0.66,5,False,False,-0.02,False,True,False,0,False,False,True,False,winter,0.65,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,1.0,6.0,0.9059999999999999,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,9,1.0,5.333333333333333,0.8811111111111111,5.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,78.37,31.990000000000002,6.65,75.37,73.67999999999999,11384.8,56.55,28.2,26.1,6.790000000000001,4,1.0,0.0,0.1,0.0,1,1,0.0,0,0.0,0,0.0,0,5,0,1,0,28.0,37.0,502100.0,591900.0,8.0,9.0,11.0,7.0,0.2,0.0,0.2,0.0,8.0,10.0,2.0,0.0
2025-07-13,11_13,22,22,359900,341349,12,0.57,5,True,False,0.01,False,True,False,0,False,False,True,False,winter,0.65,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.0,5.7,0.586,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10,0.0,5.7,0.586,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,77.24,34.160000000000004,6.609999999999999,76.97,69.06,10704.7,53.54,30.8,24.14,7.720000000000001,5,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,6,0,1,0,34.0,34.0,530300.0,596800.0,11.0,9.0,5.0,12.0,0.1,0.0,0.0,0.0,9.0,11.0,1.0,0.0
2025-07-14,11_13,26,26,416700,422305,10,0.69,5,True,False,0.12,False,False,False,0,False,False,True,True,winter,0.65,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.0,6.4,0.694,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,9,0.0,7.0,0.6744444444444445,5.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,78.1,31.059999999999995,6.57,74.15,66.05,11778.9,53.970000000000006,30.0,26.369999999999997,6.18,4,1.0,0.0,0.1,0.0,1,1,0.0,0,0.0,0,0.0,0,0,0,0,0,22.0,22.0,359900.0,378900.0,12.0,6.0,5.0,7.0,0.0,0.1,0.0,0.0,10.0,9.0,0.0,1.0
2025-07-15,11_13,22,22,397900,409317,16,0.28,9,True,False,-0.15,False,False,False,0,True,False,True,True,winter,0.65,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.0,6.8,0.586,9.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10,0.0,6.8,0.586,9.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,79.03,32.68,6.5,74.91,71.91,11678.8,57.58,30.5,27.68,8.64,4,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,26.0,27.0,416700.0,449900.0,10.0,8.0,5.0,7.0,0.1,0.0,0.0,0.0,9.0,10.0,1.0,0.0
2025-07-16,11_13,25,25,421500,420209,9,0.41,7,False,False,-0.09,True,False,True,Virgen del Carmen,False,False,True,False,winter,0.85,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.7,3.6,0.666,7.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10,0.7,3.6,0.666,7.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,77.26,33.42,6.55,74.89,68.97999999999999,10683.7,45.35,33.4,24.45,7.45,6,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,2,0,0,0,22.0,25.0,397900.0,374000.0,16.0,12.0,9.0,2.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0
2025-07-17,11_13,29,22,497300,378925,5,0.71,9,False,False,-0.15,False,False,False,0,False,False,True,False,winter,0.65,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,1.8,4.7,0.774,9.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10,1.8,4.7,0.774,9.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,77.74,32.37,6.65,73.97999999999999,69.69,11166.4,49.15,29.1,25.73,9.84,6,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,3,0,0,0,25.0,29.0,421500.0,459300.0,9.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0
2025-07-18,11_13,37,46,553900,692071,6,0.44,3,True,True,-0.01,False,False,False,0,False,False,True,False,winter,0.65,10,11,2,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,10,0.0,6.5,0.986,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,8,0.0,4.5,1.00125,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,78.26,31.27,6.45,74.41,75.12,11435.7,56.510000000000005,32.0,25.02,8.23,3,2.0,2.0,0.2,0.2,3,1,1.0,1,0.0,0,0.0,0,4,1,0,0,29.0,28.0,497300.0,502100.0,5.0,8.0,9.0,11.0,0.0,0.2,0.0,0.2,10.0,8.0,0.0,2.0
2025-07-19,11_13,29,35,487800,542486,16,0.6,8,True,False,-0.17,False,True,False,0,False,False,True,False,winter,0.65,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,1.4,6.3,0.774,8.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10,1.4,6.3,0.774,8.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,78.58,30.72,6.529999999999999,75.81,75.95,10773.3,54.9,30.3,27.360000000000003,8.48,4,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,5,0,1,0,37.0,34.0,553900.0,530300.0,6.0,11.0,3.0,5.0,0.2,0.1,0.2,0.0,8.0,9.0,3.0,1.0
2025-07-20,11_13,25,25,469000,463552,11,0.54,12,False,False,-0.07,False,True,False,0,False,False,True,False,winter,0.65,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.9,3.9,0.666,12.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,8,0.9,3.625,0.67625,12.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,79.03999999999999,31.95,6.58,74.22999999999999,68.51,9831.1,46.83,31.5,24.46,10.89,2,2.0,1.0,0.2,0.1,2,1,0.0,0,1.0,1,1.0,1,6,0,1,0,29.0,22.0,487800.0,359900.0,16.0,12.0,8.0,5.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0
2025-07-21,11_13,27,25,411900,415523,4,0.57,3,False,False,-0.11,False,False,False,0,False,False,False,False,winter,0.55,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.0,4.9,0.72,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10,0.0,4.9,0.72,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,77.9,32.730000000000004,6.82,76.77000000000001,59.77,10041.0,44.3,30.3,26.389999999999997,6.779999999999999,5,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,25.0,26.0,469000.0,416700.0,11.0,10.0,12.0,5.0,0.2,0.1,0.1,0.0,8.0,9.0,2.0,1.0
2025-07-22,11_13,30,35,502000,594347,10,0.49,8,False,False,0.06,False,False,False,0,False,False,False,False,winter,0.55,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.0,6.5,0.8,8.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,9,0.0,4.777777777777778,0.7777777777777778,8.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,77.96000000000001,32.46,6.56,75.91,64.5,11078.3,48.39,30.7,26.580000000000002,7.45,3,1.0,1.0,0.1,0.1,1,1,0.0,0,0.0,0,0.0,0,1,0,0,0,27.0,22.0,411900.0,397900.0,4.0,16.0,3.0,9.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0
2025-07-23,11_13,27,36,459400,622089,4,0.63,8,False,True,-0.13,False,False,False,0,False,False,False,False,winter,0.55,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.0,6.4,0.72,8.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,8,0.0,4.25,0.675,8.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,78.03,31.7,6.67,75.28,68.53,11415.1,50.010000000000005,30.0,27.839999999999996,9.88,1,2.0,2.0,0.2,0.2,2,1,0.0,0,0.0,0,0.0,0,2,0,0,0,30.0,25.0,502000.0,421500.0,10.0,9.0,8.0,7.0,0.1,0.0,0.1,0.0,9.0,10.0,1.0,0.0
2025-07-24,11_13,22,20,426400,395128,9,0.7,12,False,False,-0.04,False,False,False,0,False,False,False,False,winter,0.55,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.0,4.5,0.586,12.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,9,0.0,2.3333333333333335,0.57,12.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,76.42999999999999,33.46,6.62,77.12,61.1,10869.3,41.07,29.8,27.75,9.379999999999999,3,1.0,0.0,0.1,0.0,1,1,0.0,0,0.0,0,0.0,0,3,0,0,0,27.0,29.0,459400.0,497300.0,4.0,5.0,8.0,9.0,0.2,0.0,0.2,0.0,8.0,10.0,2.0,0.0
2025-07-25,11_13,36,34,568200,540250,4,0.51,6,True,False,-0.02,False,False,False,0,False,False,False,False,winter,0.55,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.0,5.5,0.96,6.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10,0.0,5.5,0.96,6.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,77.07,33.730000000000004,6.62,76.07000000000001,64.78,10981.5,44.22,27.8,26.82,11.2,4,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,4,1,0,0,22.0,37.0,426400.0,553900.0,9.0,6.0,12.0,3.0,0.1,0.2,0.0,0.2,9.0,8.0,1.0,3.0
2025-07-26,11_13,30,29,549500,590106,7,0.62,13,False,False,-0.15,False,True,False,0,False,False,False,False,winter,0.55,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.8,4.4,0.8,13.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,8,0.8,2.625,0.875,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,76.67999999999999,33.15,6.92,77.27000000000001,69.42999999999999,10508.4,46.309999999999995,26.6,25.29,9.2,5,2.0,2.0,0.2,0.2,2,1,1.0,1,1.0,1,0.0,0,5,0,1,0,36.0,29.0,568200.0,487800.0,4.0,16.0,6.0,8.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0
2025-07-27,11_13,23,26,421600,471888,7,0.64,10,False,False,-0.01,False,True,False,0,False,False,False,False,winter,0.55,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.0,7.7,0.6140000000000001,10.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10,0.0,7.7,0.6140000000000001,10.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,78.08,31.97,6.590000000000001,75.28999999999999,77.42,11325.7,56.06,30.7,26.380000000000003,7.010000000000001,5,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,6,0,1,0,30.0,25.0,549500.0,469000.0,7.0,11.0,13.0,12.0,0.2,0.2,0.2,0.1,8.0,8.0,2.0,2.0
2025-07-28,11_13,24,22,378800,372306,9,0.57,4,False,False,-0.05,False,False,False,0,False,False,False,False,winter,0.55,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.0,10.7,0.64,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,9,0.0,8.777777777777779,0.6666666666666666,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,79.47,30.869999999999997,6.35,73.4,72.65,11535.9,58.67,29.4,26.26,9.71,3,1.0,0.0,0.1,0.0,1,1,1.0,1,0.0,0,0.0,0,0,0,0,0,23.0,27.0,421600.0,411900.0,7.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0
2025-07-29,11_13,32,37,482900,539015,9,0.54,3,True,False,0.02,False,False,False,0,False,False,False,True,winter,0.55,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.0,6.1,0.8540000000000001,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10,0.0,6.1,0.8540000000000001,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,77.2,31.24,6.529999999999999,74.97,67.22,11241.3,48.45,32.8,28.139999999999997,7.4799999999999995,5,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,24.0,30.0,378800.0,502000.0,9.0,10.0,4.0,8.0,0.1,0.1,0.0,0.1,9.0,9.0,1.0,1.0
2025-07-30,11_13,24,26,388300,397031,4,0.59,5,False,False,0.03,False,False,False,0,False,False,False,True,winter,0.55,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.0,9.5,0.64,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,8,0.0,4.375,0.6000000000000001,5.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,78.05,30.810000000000002,6.590000000000001,75.17999999999999,69.94,11126.0,57.4,30.7,27.889999999999997,8.440000000000001,4,2.0,1.0,0.2,0.1,2,1,0.0,0,0.0,0,0.0,0,2,0,0,0,32.0,27.0,482900.0,459400.0,9.0,4.0,3.0,8.0,0.0,0.2,0.0,0.2,10.0,8.0,0.0,2.0
2025-07-31,11_13,26,27,454700,474140,6,0.72,9,False,False,-0.08,False,False,False,0,False,False,False,False,winter,0.55,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.5,8.8,0.694,9.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,9,0.5,6.333333333333333,0.6744444444444445,9.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,79.47,31.669999999999998,6.720000000000001,74.25,72.44,11336.8,57.15,28.7,27.2,8.8,5,1.0,0.0,0.1,0.0,1,1,0.0,0,0.0,0,0.0,0,3,0,0,0,24.0,22.0,388300.0,426400.0,4.0,9.0,5.0,12.0,0.2,0.1,0.1,0.0,8.0,9.0,2.0,1.0
2025-08-01,11_13,32,34,511400,512961,13,0.59,6,False,False,-0.05,False,False,False,0,False,False,False,True,winter,0.35,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.0,9.4,0.8540000000000001,6.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10,0.0,9.4,0.8540000000000001,6.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,78.99,31.689999999999998,6.459999999999999,74.55999999999999,69.35,11064.4,56.42999999999999,32.7,26.880000000000003,8.95,1,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,4,1,0,0,26.0,36.0,454700.0,568200.0,6.0,4.0,9.0,6.0,0.1,0.0,0.0,0.0,9.0,10.0,1.0,0.0
